tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,JHA Kanak,XIE Tianming,USA,USA,4,0,"11,11,11,11|5,2,6,4",R16,OTHER,JBS,510,Main Draw,JHA Kanak (USA),XIE Tianming (USA),,,4 - 0,11:5 11:2 11:6 11:4,JHA Kanak,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,HAZIN Jeremy,WANG Jack,CAN,USA,4,2,"11,9,8,11,12,14|9,11,11,8,10,12",QuarterFinal,OTHER,JBS,510,Main Draw,WANG Jack (USA),HAZIN Jeremy (CAN),,,2 - 4,9:11 11:9 11:8 8:11 10:12 12:14,HAZIN Jeremy,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,JHA Kanak,KUMAR Nikhil,USA,USA,4,3,"11,10,6,5,11,11,11|4,12,11,11,9,8,4",SemiFinal,OTHER,JBS,510,Main Draw,JHA Kanak (USA),KUMAR Nikhil (USA),,,4 - 3,11:4 10:12 6:11 5:11 11:9 11:8 11:4,JHA Kanak,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,HAZIN Jeremy,LIU Victor,CAN,USA,4,0,"11,11,11,11|8,7,9,5",SemiFinal,OTHER,JBS,510,Main Draw,LIU Victor (USA),HAZIN Jeremy (CAN),,,0 - 4,8:11 7:11 9:11 5:11,HAZIN Jeremy,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,JHA Kanak,HAZIN Jeremy,USA,CAN,4,0,"11,11,11,11|7,3,6,2",Final,OTHER,JBS,510,Main Draw,JHA Kanak (USA),HAZIN Jeremy (CAN),,,4 - 0,11:7 11:3 11:6 11:2,JHA Kanak,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,WANG Crystal,XIONG Isabelle,USA,CAN,4,0,"11,11,11,11|6,5,5,8",R16,OTHER,JGS,510,Main Draw,WANG Crystal (USA),XIONG Isabelle (CAN),,,4 - 0,11:6 11:5 11:5 11:8,WANG Crystal,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,YANG Rachel,ZHU Sabrina,USA,USA,4,0,"11,12,11,11|7,10,3,3",R16,OTHER,JGS,510,Main Draw,ZHU Sabrina (USA),YANG Rachel (USA),,,0 - 4,7:11 10:12 3:11 3:11,YANG Rachel,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,LIAO Ivy,HUANG Margaret,CAN,CAN,4,0,"11,11,11,11|7,6,3,7",R16,OTHER,JGS,510,Main Draw,LIAO Ivy (CAN),HUANG Margaret (CAN),,,4 - 0,11:7 11:6 11:3 11:7,LIAO Ivy,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,MARUTHAPANDIAN Lavanya,XU Joyce,USA,CAN,4,2,"8,11,11,5,11,11|11,4,6,11,9,3",R16,OTHER,JGS,510,Main Draw,XU Joyce (CAN),MARUTHAPANDIAN Lavanya (USA),,,2 - 4,11:8 4:11 6:11 11:5 9:11 3:11,MARUTHAPANDIAN Lavanya,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,YANG Grace,ZHAO Kelly Fei,USA,CAN,4,3,"11,9,11,6,11,7,11|4,11,1,11,9,11,5",R16,OTHER,JGS,510,Main Draw,YANG Grace (USA),ZHAO Kelly Fei (CAN),,,4 - 3,11:4 9:11 11:1 6:11 11:9 7:11 11:5,YANG Grace,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,DEB Ishana,GAUTHIER Sophie,USA,CAN,4,1,"11,11,5,11,11|6,4,11,5,8",R16,OTHER,JGS,510,Main Draw,GAUTHIER Sophie (CAN),DEB Ishana (USA),,,1 - 4,6:11 4:11 11:5 5:11 8:11,DEB Ishana,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,ZHOU Benita,FU Ava,CAN,USA,4,2,"5,11,11,11,3,11|11,6,5,7,11,8",R16,OTHER,JGS,510,Main Draw,ZHOU Benita (CAN),FU Ava (USA),,,4 - 2,5:11 11:6 11:5 11:7 3:11 11:8,ZHOU Benita,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,WANG Amy,LAI Laura,USA,CAN,4,0,"11,12,11,11|5,10,4,3",R16,OTHER,JGS,510,Main Draw,LAI Laura (CAN),WANG Amy (USA),,,0 - 4,5:11 10:12 4:11 3:11,WANG Amy,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,WANG Crystal,YANG Rachel,USA,USA,4,2,"10,11,12,6,11,11|12,3,10,11,8,4",QuarterFinal,OTHER,JGS,510,Main Draw,WANG Crystal (USA),YANG Rachel (USA),,,4 - 2,10:12 11:3 12:10 6:11 11:8 11:4,WANG Crystal,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,LIAO Ivy,MARUTHAPANDIAN Lavanya,CAN,USA,4,3,"12,11,10,10,7,11,11|10,7,12,12,11,9,9",QuarterFinal,OTHER,JGS,510,Main Draw,LIAO Ivy (CAN),MARUTHAPANDIAN Lavanya (USA),,,4 - 3,12:10 11:7 10:12 10:12 7:11 11:9 11:9,LIAO Ivy,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,YANG Grace,DEB Ishana,USA,USA,4,0,"11,12,11,11|2,10,6,5",QuarterFinal,OTHER,JGS,510,Main Draw,YANG Grace (USA),DEB Ishana (USA),,,4 - 0,11:2 12:10 11:6 11:5,YANG Grace,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,WANG Amy,ZHOU Benita,USA,CAN,4,0,"11,11,11,11|6,7,6,5",QuarterFinal,OTHER,JGS,510,Main Draw,ZHOU Benita (CAN),WANG Amy (USA),,,0 - 4,6:11 7:11 6:11 5:11,WANG Amy,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,WANG Crystal,LIAO Ivy,USA,CAN,4,0,"11,11,11,11|8,7,3,6",SemiFinal,OTHER,JGS,510,Main Draw,WANG Crystal (USA),LIAO Ivy (CAN),,,4 - 0,11:8 11:7 11:3 11:6,WANG Crystal,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,WANG Amy,YANG Grace,USA,USA,4,1,"11,7,11,11,11|7,11,4,8,9",SemiFinal,OTHER,JGS,510,Main Draw,YANG Grace (USA),WANG Amy (USA),,,1 - 4,7:11 11:7 4:11 8:11 9:11,WANG Amy,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,WANG Amy,WANG Crystal,USA,USA,4,1,"11,8,11,12,11|9,11,5,10,7",Final,OTHER,JGS,510,Main Draw,WANG Crystal (USA),WANG Amy (USA),,,1 - 4,9:11 11:8 5:11 10:12 7:11,WANG Amy,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,LIU Victor,KUMAR Nikhil,USA,USA,4,2,"11,10,11,11,9,11|9,12,3,4,11,6",3RD,OTHER,JBS,510,Main Draw,KUMAR Nikhil (USA),LIU Victor (USA),,,2 - 4,9:11 12:10 3:11 4:11 11:9 6:11,LIU Victor,2017
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,YANG Grace,LIAO Ivy,USA,CAN,4,2,"11,11,12,5,11,11|8,6,14,11,5,7",3RD,OTHER,JGS,510,Main Draw,YANG Grace (USA),LIAO Ivy (CAN),,,4 - 2,11:8 11:6 12:14 5:11 11:5 11:7,YANG Grace,2017
US Open Las Vegas 2017,2017-12-17,ELOI Damien,PARK Minjun,FRA,KOR,4,1,"11,11,11,10,11|7,9,9,12,4",R64,WTT_CONTENDER,MS,864,Main Draw,PARK Minjun (KOR),ELOI Damien (FRA),,,1 - 4,7:11 9:11 9:11 12:10 4:11,ELOI Damien,2017
US Open Las Vegas 2017,2017-12-17,TAO Wenzhang,SICARD Luc,USA,CAN,4,0,"11,11,11,11|7,4,9,6",R64,WTT_CONTENDER,MS,864,Main Draw,TAO Wenzhang (USA),SICARD Luc (CAN),,,4 - 0,11:7 11:4 11:9 11:6,TAO Wenzhang,2017
US Open Las Vegas 2017,2017-12-17,MENG Lingshuai,BARRIOS Leonel,USA,GUA,4,0,"11,11,11,11|5,7,7,5",R64,WTT_CONTENDER,MS,864,Main Draw,MENG Lingshuai (USA),BARRIOS Leonel (GUA),,,4 - 0,11:5 11:7 11:7 11:5,MENG Lingshuai,2017
US Open Las Vegas 2017,2017-12-17,DUBINA Samson,DANI Mudit,USA,IND,4,3,"12,4,11,11,7,7,11|10,11,7,6,11,11,5",R64,WTT_CONTENDER,MS,864,Main Draw,DANI Mudit (IND),DUBINA Samson (USA),,,3 - 4,10:12 11:4 7:11 6:11 11:7 11:7 5:11,DUBINA Samson,2017
US Open Las Vegas 2017,2017-12-17,BLASZCZYK Lucjan,NARANJO Angel,POL,PUR,4,1,"11,7,11,12,11|5,11,3,10,5",R64,WTT_CONTENDER,MS,864,Main Draw,NARANJO Angel (PUR),BLASZCZYK Lucjan (POL),,,1 - 4,5:11 11:7 3:11 10:12 5:11,BLASZCZYK Lucjan,2017
US Open Las Vegas 2017,2017-12-17,LIANG Jishan,WANG Cheng,USA,USA,4,0,"11,11,11,11|8,3,4,3",R64,WTT_CONTENDER,MS,864,Main Draw,LIANG Jishan (USA),WANG Cheng (USA),,,4 - 0,11:8 11:3 11:4 11:3,LIANG Jishan,2017
US Open Las Vegas 2017,2017-12-17,KUMAR Nikhil,XIE Tianming,USA,USA,4,2,"11,8,11,8,11,11|6,11,8,11,9,8",R64,WTT_CONTENDER,MS,864,Main Draw,XIE Tianming (USA),KUMAR Nikhil (USA),,,2 - 4,6:11 11:8 8:11 11:8 9:11 8:11,KUMAR Nikhil,2017
US Open Las Vegas 2017,2017-12-17,TIO Nicholas,CARNEY A J,USA,USA,4,0,"11,11,11,11|6,9,9,7",R64,WTT_CONTENDER,MS,864,Main Draw,TIO Nicholas (USA),CARNEY A J (USA),,,4 - 0,11:6 11:9 11:9 11:7,TIO Nicholas,2017
US Open Las Vegas 2017,2017-12-17,ZHANG Xiangjing,IWASAKI Eiko,USA,JPN,4,1,"11,13,11,11,11|9,15,9,6,5",R64,WTT_CONTENDER,MS,864,Main Draw,IWASAKI Eiko (JPN),ZHANG Xiangjing (USA),,,1 - 4,9:11 15:13 9:11 6:11 5:11,ZHANG Xiangjing,2017
US Open Las Vegas 2017,2017-12-17,LIANG Yonghui,YU Di,USA,USA,4,0,"11,11,11,14|7,8,6,12",R64,WTT_CONTENDER,MS,864,Main Draw,LIANG Yonghui (USA),YU Di (USA),,,4 - 0,11:7 11:8 11:6 14:12,LIANG Yonghui,2017
US Open Las Vegas 2017,2017-12-17,FUJIMURA Tomoya,BU Alexander,JPN,CAN,4,0,"11,11,11,11|3,2,9,1",R64,WTT_CONTENDER,MS,864,Main Draw,FUJIMURA Tomoya (JPN),BU Alexander (CAN),,,4 - 0,11:3 11:2 11:9 11:1,FUJIMURA Tomoya,2017
US Open Las Vegas 2017,2017-12-17,ARINOBU Taimu,TRAN Michael Minh,JPN,USA,4,0,"11,11,11,11|8,8,6,5",R64,WTT_CONTENDER,MS,864,Main Draw,TRAN Michael Minh (USA),ARINOBU Taimu (JPN),,,0 - 4,8:11 8:11 6:11 5:11,ARINOBU Taimu,2017
US Open Las Vegas 2017,2017-12-17,AVVARI Krishnateja,NARESH Sid,USA,USA,4,0,"11,11,11,11|8,5,4,8",R64,WTT_CONTENDER,MS,864,Main Draw,AVVARI Krishnateja (USA),NARESH Sid (USA),,,4 - 0,11:8 11:5 11:4 11:8,AVVARI Krishnateja,2017
US Open Las Vegas 2017,2017-12-17,WANG Jinxin,SEEMILLER Danny,USA,USA,4,0,"11,11,11,11|5,6,7,4",R64,WTT_CONTENDER,MS,864,Main Draw,WANG Jinxin (USA),SEEMILLER Danny (USA),,,4 - 0,11:5 11:6 11:7 11:4,WANG Jinxin,2017
US Open Las Vegas 2017,2017-12-17,TIAN Ye,MENG Xuan,USA,USA,4,3,"11,11,12,11,5,8,11|5,6,14,8,11,11,9",R64,WTT_CONTENDER,MS,864,Main Draw,MENG Xuan (USA),TIAN Ye (USA),,,3 - 4,5:11 6:11 14:12 8:11 11:5 11:8 9:11,TIAN Ye,2017
US Open Las Vegas 2017,2017-12-17,MA Jinbao,NIU Jiang,USA,USA,4,0,"11,11,11,11|6,8,6,7",R64,WTT_CONTENDER,MS,864,Main Draw,MA Jinbao (USA),NIU Jiang (USA),,,4 - 0,11:6 11:8 11:6 11:7,MA Jinbao,2017
US Open Las Vegas 2017,2017-12-17,ZHENG Pu,LEHMANN Matthew,USA,CAN,4,0,"15,11,11,11|13,3,9,7",R64,WTT_CONTENDER,MS,864,Main Draw,ZHENG Pu (USA),LEHMANN Matthew (CAN),,,4 - 0,15:13 11:3 11:9 11:7,ZHENG Pu,2017
US Open Las Vegas 2017,2017-12-17,LIU Dan,YEUNG Terence,USA,CAN,4,0,"11,11,11,11|9,6,7,8",R64,WTT_CONTENDER,MS,864,Main Draw,YEUNG Terence (CAN),LIU Dan (USA),,,0 - 4,9:11 6:11 7:11 8:11,LIU Dan,2017
US Open Las Vegas 2017,2017-12-17,MORIMOTO Kohei,ZHANG Yichi,JPN,CHN,4,2,"9,12,4,11,11,11|11,10,11,0,8,8",R64,WTT_CONTENDER,MS,864,Main Draw,ZHANG Yichi (CHN),MORIMOTO Kohei (JPN),,,2 - 4,11:9 10:12 11:4 0:11 8:11 8:11,MORIMOTO Kohei,2017
US Open Las Vegas 2017,2017-12-17,CHEN Baiyu,CHEN Yi-Chieh,USA,TPE,4,2,"13,11,9,12,9,12|11,5,11,10,11,10",R64,WTT_CONTENDER,MS,864,Main Draw,CHEN Baiyu (USA),CHEN Yi-Chieh (TPE),,,4 - 2,13:11 11:5 9:11 12:10 9:11 12:10,CHEN Baiyu,2017
US Open Las Vegas 2017,2017-12-17,XU Jiwei,LIU Victor,USA,USA,4,2,"6,12,11,4,11,11|11,10,6,11,7,9",R64,WTT_CONTENDER,MS,864,Main Draw,XU Jiwei (USA),LIU Victor (USA),,,4 - 2,6:11 12:10 11:6 4:11 11:7 11:9,XU Jiwei,2017
US Open Las Vegas 2017,2017-12-17,PARK Gyeongtae,LE Tuan Dai,KOR,USA,4,0,"11,11,11,11|4,8,5,5",R64,WTT_CONTENDER,MS,864,Main Draw,PARK Gyeongtae (KOR),LE Tuan Dai (USA),,,4 - 0,11:4 11:8 11:5 11:5,PARK Gyeongtae,2017
US Open Las Vegas 2017,2017-12-17,JU Mingwei,ZENG Deyao,USA,USA,4,0,"11,11,15,11|4,8,13,7",R64,WTT_CONTENDER,MS,864,Main Draw,ZENG Deyao (USA),JU Mingwei (USA),,,0 - 4,4:11 8:11 13:15 7:11,JU Mingwei,2017
US Open Las Vegas 2017,2017-12-17,PELLNY Thomas,REED Barney,GER,USA,4,1,"11,8,14,13,11|8,11,12,11,6",R64,WTT_CONTENDER,MS,864,Main Draw,PELLNY Thomas (GER),REED Barney (USA),,,4 - 1,11:8 8:11 14:12 13:11 11:6,PELLNY Thomas,2017
US Open Las Vegas 2017,2017-12-17,GODHWANI Aditya,KIM Hyunso,USA,KOR,4,2,"5,12,13,10,11,11|11,10,11,12,7,4",R64,WTT_CONTENDER,MS,864,Main Draw,KIM Hyunso (KOR),GODHWANI Aditya (USA),,,2 - 4,11:5 10:12 11:13 12:10 7:11 4:11,GODHWANI Aditya,2017
US Open Las Vegas 2017,2017-12-17,WEI Dianren,LY Edward,USA,CAN,4,0,"11,11,12,11|9,8,10,2",R64,WTT_CONTENDER,MS,864,Main Draw,LY Edward (CAN),WEI Dianren (USA),,,0 - 4,9:11 8:11 10:12 2:11,WEI Dianren,2017
US Open Las Vegas 2017,2017-12-17,WU Junhan,CHEN Bowen,USA,USA,4,0,"11,11,11,11|7,6,7,5",R64,WTT_CONTENDER,MS,864,Main Draw,CHEN Bowen (USA),WU Junhan (USA),,,0 - 4,7:11 6:11 7:11 5:11,WU Junhan,2017
US Open Las Vegas 2017,2017-12-17,ZHANG Kai,VENTURA DOS ANJOS Bruno,USA,BRA,4,0,"11,11,11,11|8,6,8,8",R64,WTT_CONTENDER,MS,864,Main Draw,ZHANG Kai (USA),VENTURA DOS ANJOS Bruno (BRA),,,4 - 0,11:8 11:6 11:8 11:8,ZHANG Kai,2017
US Open Las Vegas 2017,2017-12-17,ELOI Damien,PUCAR Tomislav,FRA,CRO,4,3,"11,6,11,8,13,7,11|8,11,5,11,11,11,9",R32,WTT_CONTENDER,MS,864,Main Draw,PUCAR Tomislav (CRO),ELOI Damien (FRA),,,3 - 4,8:11 11:6 5:11 11:8 11:13 11:7 9:11,ELOI Damien,2017
US Open Las Vegas 2017,2017-12-17,TAO Wenzhang,MENG Lingshuai,USA,USA,4,2,"11,11,10,11,5,11|7,9,12,8,11,4",R32,WTT_CONTENDER,MS,864,Main Draw,TAO Wenzhang (USA),MENG Lingshuai (USA),,,4 - 2,11:7 11:9 10:12 11:8 5:11 11:4,TAO Wenzhang,2017
US Open Las Vegas 2017,2017-12-17,BLASZCZYK Lucjan,DUBINA Samson,POL,USA,4,0,"11,11,11,11|6,6,6,5",R32,WTT_CONTENDER,MS,864,Main Draw,DUBINA Samson (USA),BLASZCZYK Lucjan (POL),,,0 - 4,6:11 6:11 6:11 5:11,BLASZCZYK Lucjan,2017
US Open Las Vegas 2017,2017-12-17,KUMAR Nikhil,LIANG Jishan,USA,USA,4,0,"11,13,11,11|7,11,9,9",R32,WTT_CONTENDER,MS,864,Main Draw,LIANG Jishan (USA),KUMAR Nikhil (USA),,,0 - 4,7:11 11:13 9:11 9:11,KUMAR Nikhil,2017
US Open Las Vegas 2017,2017-12-17,ZHANG Xiangjing,TIO Nicholas,USA,USA,4,0,"11,11,11,11|2,4,4,4",R32,WTT_CONTENDER,MS,864,Main Draw,TIO Nicholas (USA),ZHANG Xiangjing (USA),,,0 - 4,2:11 4:11 4:11 4:11,ZHANG Xiangjing,2017
US Open Las Vegas 2017,2017-12-17,FUJIMURA Tomoya,LIANG Yonghui,JPN,USA,4,1,"13,11,8,11,11|11,8,11,7,7",R32,WTT_CONTENDER,MS,864,Main Draw,LIANG Yonghui (USA),FUJIMURA Tomoya (JPN),,,1 - 4,11:13 8:11 11:8 7:11 7:11,FUJIMURA Tomoya,2017
US Open Las Vegas 2017,2017-12-17,ARINOBU Taimu,AVVARI Krishnateja,JPN,USA,4,1,"5,11,11,11,11|11,9,6,8,5",R32,WTT_CONTENDER,MS,864,Main Draw,ARINOBU Taimu (JPN),AVVARI Krishnateja (USA),,,4 - 1,5:11 11:9 11:6 11:8 11:5,ARINOBU Taimu,2017
US Open Las Vegas 2017,2017-12-17,WANG Jinxin,HAZIN Jeremy,USA,CAN,4,2,"12,10,11,11,11,11|10,12,13,9,6,8",R32,WTT_CONTENDER,MS,864,Main Draw,WANG Jinxin (USA),HAZIN Jeremy (CAN),,,4 - 2,12:10 10:12 11:13 11:9 11:6 11:8,WANG Jinxin,2017
US Open Las Vegas 2017,2017-12-17,TIAN Ye,WANG Timothy,USA,USA,4,3,"5,11,8,11,12,9,12|11,9,11,3,10,11,10",R32,WTT_CONTENDER,MS,864,Main Draw,WANG Timothy (USA),TIAN Ye (USA),,,3 - 4,11:5 9:11 11:8 3:11 10:12 11:9 10:12,TIAN Ye,2017
US Open Las Vegas 2017,2017-12-17,ZHENG Pu,MA Jinbao,USA,USA,4,3,"9,11,11,19,8,11,11|11,13,4,17,11,9,8",R32,WTT_CONTENDER,MS,864,Main Draw,MA Jinbao (USA),ZHENG Pu (USA),,,3 - 4,11:9 13:11 4:11 17:19 11:8 9:11 8:11,ZHENG Pu,2017
US Open Las Vegas 2017,2017-12-17,MORIMOTO Kohei,LIU Dan,JPN,USA,4,0,"12,13,11,11|10,11,7,7",R32,WTT_CONTENDER,MS,864,Main Draw,LIU Dan (USA),MORIMOTO Kohei (JPN),,,0 - 4,10:12 11:13 7:11 7:11,MORIMOTO Kohei,2017
US Open Las Vegas 2017,2017-12-17,XU Jiwei,CHEN Baiyu,USA,USA,4,1,"11,11,5,11,11|5,8,11,9,7",R32,WTT_CONTENDER,MS,864,Main Draw,CHEN Baiyu (USA),XU Jiwei (USA),,,1 - 4,5:11 8:11 11:5 9:11 7:11,XU Jiwei,2017
US Open Las Vegas 2017,2017-12-17,PARK Gyeongtae,JU Mingwei,KOR,USA,4,3,"8,11,11,7,11,8,11|11,4,9,11,9,11,9",R32,WTT_CONTENDER,MS,864,Main Draw,PARK Gyeongtae (KOR),JU Mingwei (USA),,,4 - 3,8:11 11:4 11:9 7:11 11:9 8:11 11:9,PARK Gyeongtae,2017
US Open Las Vegas 2017,2017-12-17,PELLNY Thomas,GODHWANI Aditya,GER,USA,4,3,"11,3,11,10,11,11,11|2,11,13,12,6,4,9",R32,WTT_CONTENDER,MS,864,Main Draw,PELLNY Thomas (GER),GODHWANI Aditya (USA),,,4 - 3,11:2 3:11 11:13 10:12 11:6 11:4 11:9,PELLNY Thomas,2017
US Open Las Vegas 2017,2017-12-17,WU Junhan,WEI Dianren,USA,USA,4,0,"11,11,11,11|7,4,7,8",R32,WTT_CONTENDER,MS,864,Main Draw,WEI Dianren (USA),WU Junhan (USA),,,0 - 4,7:11 4:11 7:11 8:11,WU Junhan,2017
US Open Las Vegas 2017,2017-12-17,JHA Kanak,ZHANG Kai,USA,USA,4,2,"11,5,7,11,11,11|5,11,11,7,4,4",R32,WTT_CONTENDER,MS,864,Main Draw,ZHANG Kai (USA),JHA Kanak (USA),,,2 - 4,5:11 11:5 11:7 7:11 4:11 4:11,JHA Kanak,2017
US Open Las Vegas 2017,2017-12-17,TAO Wenzhang,ELOI Damien,USA,FRA,4,3,"9,12,11,3,11,7,11|11,10,4,11,6,11,8",R16,WTT_CONTENDER,MS,864,Main Draw,ELOI Damien (FRA),TAO Wenzhang (USA),,,3 - 4,11:9 10:12 4:11 11:3 6:11 11:7 8:11,TAO Wenzhang,2017
US Open Las Vegas 2017,2017-12-17,BLASZCZYK Lucjan,KUMAR Nikhil,POL,USA,4,1,"11,11,8,11,11|4,8,11,8,7",R16,WTT_CONTENDER,MS,864,Main Draw,BLASZCZYK Lucjan (POL),KUMAR Nikhil (USA),,,4 - 1,11:4 11:8 8:11 11:8 11:7,BLASZCZYK Lucjan,2017
US Open Las Vegas 2017,2017-12-17,FUJIMURA Tomoya,ZHANG Xiangjing,JPN,USA,4,0,"11,11,11,11|8,6,9,8",R16,WTT_CONTENDER,MS,864,Main Draw,ZHANG Xiangjing (USA),FUJIMURA Tomoya (JPN),,,0 - 4,8:11 6:11 9:11 8:11,FUJIMURA Tomoya,2017
US Open Las Vegas 2017,2017-12-17,ARINOBU Taimu,WANG Jinxin,JPN,USA,4,2,"11,11,12,10,2,11|8,8,10,12,11,8",R16,WTT_CONTENDER,MS,864,Main Draw,ARINOBU Taimu (JPN),WANG Jinxin (USA),,,4 - 2,11:8 11:8 12:10 10:12 2:11 11:8,ARINOBU Taimu,2017
US Open Las Vegas 2017,2017-12-17,TIAN Ye,ZHENG Pu,USA,USA,4,0,"11,11,11,11|5,6,5,8",R16,WTT_CONTENDER,MS,864,Main Draw,TIAN Ye (USA),ZHENG Pu (USA),,,4 - 0,11:5 11:6 11:5 11:8,TIAN Ye,2017
US Open Las Vegas 2017,2017-12-17,MORIMOTO Kohei,XU Jiwei,JPN,USA,4,2,"7,11,11,7,11,11|11,5,6,11,5,4",R16,WTT_CONTENDER,MS,864,Main Draw,MORIMOTO Kohei (JPN),XU Jiwei (USA),,,4 - 2,7:11 11:5 11:6 7:11 11:5 11:4,MORIMOTO Kohei,2017
US Open Las Vegas 2017,2017-12-17,PARK Gyeongtae,PELLNY Thomas,KOR,GER,4,3,"9,19,12,5,8,11,11|11,17,10,11,11,6,9",R16,WTT_CONTENDER,MS,864,Main Draw,PARK Gyeongtae (KOR),PELLNY Thomas (GER),,,4 - 3,9:11 19:17 12:10 5:11 8:11 11:6 11:9,PARK Gyeongtae,2017
