tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
US Open Florida Orlando 2018,2018-12-17,ZHANG Kai,FUJIKI Shoji,USA,JPN,4,2,"12,9,3,13,11,11|10,11,11,11,6,4",R64,WTT_CONTENDER,MS,1996,Main Draw,FUJIKI Shoji (JPN),ZHANG Kai (USA),,,2 - 4,10:12 11:9 11:3 11:13 6:11 4:11,ZHANG Kai,2018
US Open Florida Orlando 2018,2018-12-17,TAO Wenzhang,XU Kaden,USA,USA,4,3,"11,13,4,12,8,3,11|9,11,11,10,11,11,6",R32,WTT_CONTENDER,MS,1996,Main Draw,XU Kaden (USA),TAO Wenzhang (USA),,,3 - 4,9:11 11:13 11:4 10:12 11:8 11:3 6:11,TAO Wenzhang,2018
US Open Florida Orlando 2018,2018-12-17,UEZU Koji,LEHMANN Matthew,JPN,CAN,4,0,"11,11,11,11|4,7,7,3",R32,WTT_CONTENDER,MS,1996,Main Draw,LEHMANN Matthew (CAN),UEZU Koji (JPN),,,0 - 4,4:11 7:11 7:11 3:11,UEZU Koji,2018
US Open Florida Orlando 2018,2018-12-17,JU Mingwei,GONZALEZ Daniel,USA,PUR,4,0,"12,13,11,11|10,11,7,8",R32,WTT_CONTENDER,MS,1996,Main Draw,JU Mingwei (USA),GONZALEZ Daniel (PUR),,,4 - 0,12:10 13:11 11:7 11:8,JU Mingwei,2018
US Open Florida Orlando 2018,2018-12-17,KANOYA Ryohei,JHA Kanak,JPN,USA,4,1,"7,11,11,11,11|11,7,8,9,4",R16,WTT_CONTENDER,MS,1996,Main Draw,JHA Kanak (USA),KANOYA Ryohei (JPN),,,1 - 4,11:7 7:11 8:11 9:11 4:11,KANOYA Ryohei,2018
US Open Florida Orlando 2018,2018-12-17,MA Jinbao,HAZIN Jeremy,USA,CAN,4,0,"11,11,11,11|5,2,5,9",R16,WTT_CONTENDER,MS,1996,Main Draw,MA Jinbao (USA),HAZIN Jeremy (CAN),,,4 - 0,11:5 11:2 11:5 11:9,MA Jinbao,2018
US Open Florida Orlando 2018,2018-12-17,ATSUYA Takeshi,ENGEMANN Gerrit,JPN,GER,4,0,"11,11,12,11|3,9,10,5",R16,WTT_CONTENDER,MS,1996,Main Draw,ENGEMANN Gerrit (GER),ATSUYA Takeshi (JPN),,,0 - 4,3:11 9:11 10:12 5:11,ATSUYA Takeshi,2018
US Open Florida Orlando 2018,2018-12-17,GOMMERS Rajko,MURAI Kei,NED,JPN,4,2,"9,11,6,11,11,11|11,6,11,9,6,9",R16,WTT_CONTENDER,MS,1996,Main Draw,MURAI Kei (JPN),GOMMERS Rajko (NED),,,2 - 4,11:9 6:11 11:6 9:11 6:11 9:11,GOMMERS Rajko,2018
US Open Florida Orlando 2018,2018-12-17,WANG Eugene,LI Jian,CAN,USA,4,0,"11,11,15,11|5,1,13,5",R16,WTT_CONTENDER,MS,1996,Main Draw,WANG Eugene (CAN),LI Jian (USA),,,4 - 0,11:5 11:1 15:13 11:5,WANG Eugene,2018
US Open Florida Orlando 2018,2018-12-17,SHIMOYAMA Yuki,TIO Nicholas,JPN,USA,4,1,"11,11,7,11,11|9,5,11,6,5",R16,WTT_CONTENDER,MS,1996,Main Draw,SHIMOYAMA Yuki (JPN),TIO Nicholas (USA),,,4 - 1,11:9 11:5 7:11 11:6 11:5,SHIMOYAMA Yuki,2018
US Open Florida Orlando 2018,2018-12-17,UEZU Koji,JU Mingwei,JPN,USA,4,2,"11,11,11,6,9,11|9,4,8,11,11,6",R16,WTT_CONTENDER,MS,1996,Main Draw,UEZU Koji (JPN),JU Mingwei (USA),,,4 - 2,11:9 11:4 11:8 6:11 9:11 11:6,UEZU Koji,2018
US Open Florida Orlando 2018,2018-12-17,KANOYA Ryohei,MA Jinbao,JPN,USA,4,2,"11,9,8,11,11,12|1,11,11,9,5,10",QuarterFinal,WTT_CONTENDER,MS,1996,Main Draw,KANOYA Ryohei (JPN),MA Jinbao (USA),,,4 - 2,11:1 9:11 8:11 11:9 11:5 12:10,KANOYA Ryohei,2018
US Open Florida Orlando 2018,2018-12-17,ATSUYA Takeshi,GOMMERS Rajko,JPN,NED,4,2,"8,3,11,11,11,11|11,11,4,6,9,6",QuarterFinal,WTT_CONTENDER,MS,1996,Main Draw,ATSUYA Takeshi (JPN),GOMMERS Rajko (NED),,,4 - 2,8:11 3:11 11:4 11:6 11:9 11:6,ATSUYA Takeshi,2018
US Open Florida Orlando 2018,2018-12-17,WANG Eugene,SHIMOYAMA Yuki,CAN,JPN,4,0,"11,11,11,11|3,3,3,6",QuarterFinal,WTT_CONTENDER,MS,1996,Main Draw,WANG Eugene (CAN),SHIMOYAMA Yuki (JPN),,,4 - 0,11:3 11:3 11:3 11:6,WANG Eugene,2018
US Open Florida Orlando 2018,2018-12-17,HIPPLER Tobias,UEZU Koji,GER,JPN,4,3,"11,11,10,4,9,11,11|9,6,12,11,11,7,3",QuarterFinal,WTT_CONTENDER,MS,1996,Main Draw,HIPPLER Tobias (GER),UEZU Koji (JPN),,,4 - 3,11:9 11:6 10:12 4:11 9:11 11:7 11:3,HIPPLER Tobias,2018
US Open Florida Orlando 2018,2018-12-17,KANOYA Ryohei,ATSUYA Takeshi,JPN,JPN,4,2,"15,11,11,8,11,11|17,8,6,11,9,7",SemiFinal,WTT_CONTENDER,MS,1996,Main Draw,KANOYA Ryohei (JPN),ATSUYA Takeshi (JPN),,,4 - 2,15:17 11:8 11:6 8:11 11:9 11:7,KANOYA Ryohei,2018
US Open Florida Orlando 2018,2018-12-17,WANG Eugene,HIPPLER Tobias,CAN,GER,4,0,"11,11,13,11|8,4,11,4",SemiFinal,WTT_CONTENDER,MS,1996,Main Draw,WANG Eugene (CAN),HIPPLER Tobias (GER),,,4 - 0,11:8 11:4 13:11 11:4,WANG Eugene,2018
US Open Florida Orlando 2018,2018-12-17,WANG Eugene,KANOYA Ryohei,CAN,JPN,4,3,"11,12,11,9,11,11,12|9,14,13,11,7,1,10",Final,WTT_CONTENDER,MS,1996,Main Draw,KANOYA Ryohei (JPN),WANG Eugene (CAN),,,3 - 4,9:11 14:12 13:11 11:9 7:11 1:11 10:12,WANG Eugene,2018
US Open Florida Orlando 2018,2018-12-17,LI Rui Ni,LIN Jiaqi,USA,USA,3,1,"11,11,8,11|2,1,11,6",R64,WTT_CONTENDER,WS,1996,Main Draw,LIN Jiaqi (USA),LI Rui Ni (USA),,,1 - 3,2:11 1:11 11:8 6:11,LI Rui Ni,2018
US Open Florida Orlando 2018,2018-12-17,LI Yue,KE Tiffany,USA,USA,3,1,"8,11,11,11|11,5,9,5",R64,WTT_CONTENDER,WS,1996,Main Draw,KE Tiffany (USA),LI Yue (USA),,,1 - 3,11:8 5:11 9:11 5:11,LI Yue,2018
US Open Florida Orlando 2018,2018-12-17,WU Yue,LI Rui Ni,USA,USA,4,3,"11,4,11,8,11,7,11|3,11,7,11,8,11,8",R32,WTT_CONTENDER,WS,1996,Main Draw,WU Yue (USA),LI Rui Ni (USA),,,4 - 3,11:3 4:11 11:7 8:11 11:8 7:11 11:8,WU Yue,2018
US Open Florida Orlando 2018,2018-12-17,TAN Angie,WANG Jiaran,USA,CHN,4,3,"6,7,12,11,11,8,11|11,11,10,9,8,11,9",R32,WTT_CONTENDER,WS,1996,Main Draw,TAN Angie (USA),WANG Jiaran (CHN),,,4 - 3,6:11 7:11 12:10 11:9 11:8 8:11 11:9,TAN Angie,2018
US Open Florida Orlando 2018,2018-12-17,SO Eka,XU Nuo,JPN,USA,4,1,"11,11,11,13,13|7,4,7,15,11",R32,WTT_CONTENDER,WS,1996,Main Draw,XU Nuo (USA),SO Eka (JPN),,,1 - 4,7:11 4:11 7:11 15:13 11:13,SO Eka,2018
US Open Florida Orlando 2018,2018-12-17,GUAN Angela,JIAO Qiao,USA,USA,4,3,"7,7,11,11,9,11,11|11,11,7,4,11,9,5",R32,WTT_CONTENDER,WS,1996,Main Draw,JIAO Qiao (USA),GUAN Angela (USA),,,3 - 4,11:7 11:7 7:11 4:11 11:9 9:11 5:11,GUAN Angela,2018
US Open Florida Orlando 2018,2018-12-17,BRITO Eva,MARUTHAPANDIAN Lavanya,DOM,USA,4,0,"11,11,11,11|7,5,8,7",R32,WTT_CONTENDER,WS,1996,Main Draw,BRITO Eva (DOM),MARUTHAPANDIAN Lavanya (USA),,,4 - 0,11:7 11:5 11:8 11:7,BRITO Eva,2018
US Open Florida Orlando 2018,2018-12-17,LIU Juan,TAIRA Mayuka,USA,JPN,4,1,"12,11,11,9,11|10,7,9,11,1",R32,WTT_CONTENDER,WS,1996,Main Draw,LIU Juan (USA),TAIRA Mayuka (JPN),,,4 - 1,12:10 11:7 11:9 9:11 11:1,LIU Juan,2018
US Open Florida Orlando 2018,2018-12-17,KATO Kyoka,JHA Prachi,JPN,USA,4,0,"11,11,11,11|6,3,4,5",R32,WTT_CONTENDER,WS,1996,Main Draw,JHA Prachi (USA),KATO Kyoka (JPN),,,0 - 4,6:11 3:11 4:11 5:11,KATO Kyoka,2018
US Open Florida Orlando 2018,2018-12-17,HO Tin-Tin,WANG Chen,ENG,USA,4,3,"11,13,5,8,11,11,11|13,11,11,11,9,9,6",R32,WTT_CONTENDER,WS,1996,Main Draw,WANG Chen (USA),HO Tin-Tin (ENG),,,3 - 4,13:11 11:13 11:5 11:8 9:11 9:11 6:11,HO Tin-Tin,2018
US Open Florida Orlando 2018,2018-12-17,CHI Ge,KATO Chiaki,CHN,JPN,4,0,"11,11,14,11|7,6,12,9",R32,WTT_CONTENDER,WS,1996,Main Draw,CHI Ge (CHN),KATO Chiaki (JPN),,,4 - 0,11:7 11:6 14:12 11:9,CHI Ge,2018
US Open Florida Orlando 2018,2018-12-17,TAMAISHI Miyuki,SUNG Rachel,JPN,USA,4,2,"11,11,9,10,11,11|4,4,11,12,8,4",R32,WTT_CONTENDER,WS,1996,Main Draw,SUNG Rachel (USA),TAMAISHI Miyuki (JPN),,,2 - 4,4:11 4:11 11:9 12:10 8:11 4:11,TAMAISHI Miyuki,2018
US Open Florida Orlando 2018,2018-12-17,WANG Xinyue,GUO Jiangshan,USA,USA,4,0,"15,11,11,11|13,9,6,5",R32,WTT_CONTENDER,WS,1996,Main Draw,GUO Jiangshan (USA),WANG Xinyue (USA),,,0 - 4,13:15 9:11 6:11 5:11,WANG Xinyue,2018
US Open Florida Orlando 2018,2018-12-17,JIA Jun,TSAPTSINOS Maria,CHN,ENG,4,1,"9,11,11,11,11|11,7,7,3,4",R32,WTT_CONTENDER,WS,1996,Main Draw,TSAPTSINOS Maria (ENG),JIA Jun (CHN),,,1 - 4,11:9 7:11 7:11 3:11 4:11,JIA Jun,2018
US Open Florida Orlando 2018,2018-12-17,MATSUMOTO Yuki,WANG Yimiao,JPN,USA,4,1,"12,9,11,11,11|10,11,9,5,6",R32,WTT_CONTENDER,WS,1996,Main Draw,MATSUMOTO Yuki (JPN),WANG Yimiao (USA),,,4 - 1,12:10 9:11 11:9 11:5 11:6,MATSUMOTO Yuki,2018
US Open Florida Orlando 2018,2018-12-17,MORI Misaki,LIU Yi-Wei,JPN,USA,4,0,"11,11,11,11|9,5,4,8",R32,WTT_CONTENDER,WS,1996,Main Draw,MORI Misaki (JPN),LIU Yi-Wei (USA),,,4 - 0,11:9 11:5 11:4 11:8,MORI Misaki,2018
US Open Florida Orlando 2018,2018-12-17,MITTELHAM Nina,LI Yue,GER,USA,4,1,"11,11,8,11,11|5,7,11,5,6",R32,WTT_CONTENDER,WS,1996,Main Draw,LI Yue (USA),MITTELHAM Nina (GER),,,1 - 4,5:11 7:11 11:8 5:11 6:11,MITTELHAM Nina,2018
US Open Florida Orlando 2018,2018-12-17,WU Yue,TAN Angie,USA,USA,4,1,"8,11,13,11,11|11,3,11,8,4",R16,WTT_CONTENDER,WS,1996,Main Draw,WU Yue (USA),TAN Angie (USA),,,4 - 1,8:11 11:3 13:11 11:8 11:4,WU Yue,2018
US Open Florida Orlando 2018,2018-12-17,SO Eka,GUAN Angela,JPN,USA,4,0,"11,11,11,11|3,6,7,9",R16,WTT_CONTENDER,WS,1996,Main Draw,SO Eka (JPN),GUAN Angela (USA),,,4 - 0,11:3 11:6 11:7 11:9,SO Eka,2018
US Open Florida Orlando 2018,2018-12-17,LIU Juan,BRITO Eva,USA,DOM,4,0,"11,11,11,11|8,4,7,4",R16,WTT_CONTENDER,WS,1996,Main Draw,BRITO Eva (DOM),LIU Juan (USA),,,0 - 4,8:11 4:11 7:11 4:11,LIU Juan,2018
US Open Florida Orlando 2018,2018-12-17,KATO Kyoka,HO Tin-Tin,JPN,ENG,4,1,"11,11,12,11,11|9,5,10,13,5",R16,WTT_CONTENDER,WS,1996,Main Draw,KATO Kyoka (JPN),HO Tin-Tin (ENG),,,4 - 1,11:9 11:5 12:10 11:13 11:5,KATO Kyoka,2018
US Open Florida Orlando 2018,2018-12-17,ZHANG Lily,CHI Ge,USA,CHN,4,3,"11,11,5,2,8,11,11|5,8,11,11,11,8,9",R16,WTT_CONTENDER,WS,1996,Main Draw,ZHANG Lily (USA),CHI Ge (CHN),,,4 - 3,11:5 11:8 5:11 2:11 8:11 11:8 11:9,ZHANG Lily,2018
US Open Florida Orlando 2018,2018-12-17,TAMAISHI Miyuki,WANG Xinyue,JPN,USA,4,0,"13,11,11,14|11,8,5,12",R16,WTT_CONTENDER,WS,1996,Main Draw,TAMAISHI Miyuki (JPN),WANG Xinyue (USA),,,4 - 0,13:11 11:8 11:5 14:12,TAMAISHI Miyuki,2018
US Open Florida Orlando 2018,2018-12-17,MATSUMOTO Yuki,JIA Jun,JPN,CHN,4,0,"12,11,11,11|10,9,9,8",R16,WTT_CONTENDER,WS,1996,Main Draw,JIA Jun (CHN),MATSUMOTO Yuki (JPN),,,0 - 4,10:12 9:11 9:11 8:11,MATSUMOTO Yuki,2018
US Open Florida Orlando 2018,2018-12-17,MITTELHAM Nina,MORI Misaki,GER,JPN,4,0,"11,11,11,11|8,5,6,8",R16,WTT_CONTENDER,WS,1996,Main Draw,MORI Misaki (JPN),MITTELHAM Nina (GER),,,0 - 4,8:11 5:11 6:11 8:11,MITTELHAM Nina,2018
US Open Florida Orlando 2018,2018-12-17,SO Eka,WU Yue,JPN,USA,4,1,"11,10,11,11,11|8,12,7,6,9",QuarterFinal,WTT_CONTENDER,WS,1996,Main Draw,WU Yue (USA),SO Eka (JPN),,,1 - 4,8:11 12:10 7:11 6:11 9:11,SO Eka,2018
US Open Florida Orlando 2018,2018-12-17,LIU Juan,KATO Kyoka,USA,JPN,4,0,"11,11,11,11|9,5,8,3",QuarterFinal,WTT_CONTENDER,WS,1996,Main Draw,LIU Juan (USA),KATO Kyoka (JPN),,,4 - 0,11:9 11:5 11:8 11:3,LIU Juan,2018
US Open Florida Orlando 2018,2018-12-17,ZHANG Lily,TAMAISHI Miyuki,USA,JPN,4,2,"11,10,4,11,11,11|8,12,11,5,9,7",QuarterFinal,WTT_CONTENDER,WS,1996,Main Draw,ZHANG Lily (USA),TAMAISHI Miyuki (JPN),,,4 - 2,11:8 10:12 4:11 11:5 11:9 11:7,ZHANG Lily,2018
US Open Florida Orlando 2018,2018-12-17,MITTELHAM Nina,MATSUMOTO Yuki,GER,JPN,4,2,"11,11,3,11,1,11|9,8,11,9,11,2",QuarterFinal,WTT_CONTENDER,WS,1996,Main Draw,MATSUMOTO Yuki (JPN),MITTELHAM Nina (GER),,,2 - 4,9:11 8:11 11:3 9:11 11:1 2:11,MITTELHAM Nina,2018
US Open Florida Orlando 2018,2018-12-17,LIU Juan,SO Eka,USA,JPN,4,1,"11,9,11,11,11|8,11,9,7,8",SemiFinal,WTT_CONTENDER,WS,1996,Main Draw,SO Eka (JPN),LIU Juan (USA),,,1 - 4,8:11 11:9 9:11 7:11 8:11,LIU Juan,2018
US Open Florida Orlando 2018,2018-12-17,ZHANG Lily,MITTELHAM Nina,USA,GER,4,1,"7,11,11,11,11|11,8,7,7,1",SemiFinal,WTT_CONTENDER,WS,1996,Main Draw,ZHANG Lily (USA),MITTELHAM Nina (GER),,,4 - 1,7:11 11:8 11:7 11:7 11:1,ZHANG Lily,2018
US Open Florida Orlando 2018,2018-12-17,LIU Juan,ZHANG Lily,USA,USA,4,2,"4,14,11,8,11,14|11,12,7,11,5,12",Final,WTT_CONTENDER,WS,1996,Main Draw,LIU Juan (USA),ZHANG Lily (USA),,,4 - 2,4:11 14:12 11:7 8:11 11:5 14:12,LIU Juan,2018
US Open Florida Orlando 2018,2018-12-17,ATSUYA Takeshi,JHA Kanak,JPN,USA,3,1,"4,11,13,15|11,7,11,13",R16,WTT_CONTENDER,MD,1996,Main Draw,JHA Kanak (USA),ATSUYA Takeshi (JPN),ZHANG Kai (USA),UEZU Koji (JPN),1 - 3,11:4 7:11 11:13 13:15,ATSUYA Takeshi,2018
US Open Florida Orlando 2018,2018-12-17,MA Jinbao,LEHMANN Matthew,USA,CAN,3,0,"15,11,11|13,8,9",R16,WTT_CONTENDER,MD,1996,Main Draw,MA Jinbao (USA),LEHMANN Matthew (CAN),KANG Zhihao (USA),NIU Jiang (USA),3 - 0,15:13 11:8 11:9,MA Jinbao,2018
US Open Florida Orlando 2018,2018-12-17,MURAI Kei,WANG Jinxin,JPN,USA,3,0,"11,11,11|8,5,5",R16,WTT_CONTENDER,MD,1996,Main Draw,WANG Jinxin (USA),MURAI Kei (JPN),JU Mingwei (USA),KITAGUCHI Daisuke (JPN),0 - 3,8:11 5:11 5:11,MURAI Kei,2018
US Open Florida Orlando 2018,2018-12-17,SHIMOYAMA Yuki,TIAN Ye,JPN,USA,3,1,"8,11,11,11|11,8,6,8",R16,WTT_CONTENDER,MD,1996,Main Draw,TIAN Ye (USA),SHIMOYAMA Yuki (JPN),TIO Nicholas (USA),TOKUSHIMA Tsuyoshi (JPN),1 - 3,11:8 8:11 6:11 8:11,SHIMOYAMA Yuki,2018
