tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
Pro Tour Grand Finals Stockholm 2002,2002-12-12,MA Lin,SMIRNOV Alexey,CHN,RUS,4,2,"11,11,5,11,1,11|9,7,11,9,11,4",R16,GRAND_SLAM,MS,1509,Main Draw,MA Lin (CHN),SMIRNOV Alexey (RUS),,,4 - 2,11:9 11:7 5:11 11:9 1:11 11:4,MA Lin,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KREANGA Kalinikos,HEISTER Danny,GRE,NED,4,1,"11,11,11,6,15|7,3,5,11,13",QuarterFinal,GRAND_SLAM,MS,1509,Main Draw,KREANGA Kalinikos (GRE),HEISTER Danny (NED),,,4 - 1,11:7 11:3 11:5 6:11 15:13,KREANGA Kalinikos,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,CHUANG Chih-Yuan,WANG Hao,TPE,CHN,4,3,"8,12,11,11,7,8,11|11,10,7,7,11,11,8",SemiFinal,GRAND_SLAM,MS,1509,Main Draw,CHUANG Chih-Yuan (TPE),WANG Hao (CHN),,,3 - 4,11:8 10:12 7:11 7:11 11:7 11:8 8:11,CHUANG Chih-Yuan,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KREANGA Kalinikos,BOLL Timo,GRE,GER,4,3,"13,11,11,11,6,7,11|11,8,9,13,11,11,4",SemiFinal,GRAND_SLAM,MS,1509,Main Draw,KREANGA Kalinikos (GRE),BOLL Timo (GER),,,3 - 4,11:13 8:11 9:11 13:11 11:6 11:7 4:11,KREANGA Kalinikos,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,CHUANG Chih-Yuan,KREANGA Kalinikos,TPE,GRE,4,3,"11,11,9,10,11,7,11|9,7,11,12,1,11,6",Final,GRAND_SLAM,MS,1509,Main Draw,CHUANG Chih-Yuan (TPE),KREANGA Kalinikos (GRE),,,4 - 3,11:9 11:7 9:11 10:12 11:1 7:11 11:6,CHUANG Chih-Yuan,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,ZHANG Yining,STEFF Mihaela,CHN,ROU,4,1,"14,11,11,11,11|12,13,5,2,5",R16,GRAND_SLAM,WS,1509,Main Draw,ZHANG Yining (CHN),STEFF Mihaela (ROU),,,4 - 1,14:12 11:13 11:5 11:2 11:5,ZHANG Yining,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LIN Ling,JOHANSSON Sandra,HKG,SWE,4,1,"13,11,11,10,11|11,2,7,12,7",R16,GRAND_SLAM,WS,1509,Main Draw,LIN Ling (HKG),JOHANSSON Sandra (SWE),,,1 - 4,11:13 2:11 7:11 12:10 7:11,LIN Ling,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,GUO Yan (1982),UMEMURA Aya,CHN,JPN,4,2,"9,11,5,12,11,16|11,7,11,10,8,14",R16,GRAND_SLAM,WS,1509,Main Draw,GUO Yan (1982) (CHN),UMEMURA Aya (JPN),,,2 - 4,11:9 7:11 11:5 10:12 8:11 14:16,GUO Yan (1982),2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Jiawei,BOROS Tamara,SGP,CRO,4,2,"11,11,9,9,12,11|4,5,11,11,10,5",R16,GRAND_SLAM,WS,1509,Main Draw,LI Jiawei (SGP),BOROS Tamara (CRO),,,4 - 2,11:4 11:5 9:11 9:11 12:10 11:5,LI Jiawei,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,NIU Jianfeng,JING Junhong,CHN,SGP,4,2,"8,11,11,6,13,13|11,4,9,11,11,11",R16,GRAND_SLAM,WS,1509,Main Draw,NIU Jianfeng (CHN),JING Junhong (SGP),,,4 - 2,8:11 11:4 11:9 6:11 13:11 13:11,NIU Jianfeng,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,STRUSE Nicole,TIE Yana,GER,HKG,4,3,"11,3,11,11,11,13,11|9,11,6,9,13,15,6",R16,GRAND_SLAM,WS,1509,Main Draw,STRUSE Nicole (GER),TIE Yana (HKG),,,4 - 3,11:9 3:11 11:6 11:9 11:13 13:15 11:6,STRUSE Nicole,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LAU Sui Fei,FUJINUMA Ai,HKG,JPN,4,0,"16,11,11,11|14,8,9,4",R16,GRAND_SLAM,WS,1509,Main Draw,LAU Sui Fei (HKG),FUJINUMA Ai (JPN),,,4 - 0,16:14 11:8 11:9 11:4,LAU Sui Fei,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,GUO Yue,LI Nan,CHN,CHN,4,2,"11,8,8,11,11,11|5,11,11,5,6,8",R16,GRAND_SLAM,WS,1509,Main Draw,GUO Yue (CHN),LI Nan (CHN),,,4 - 2,11:5 8:11 8:11 11:5 11:6 11:8,GUO Yue,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,ZHANG Yining,LIN Ling,CHN,HKG,4,2,"11,11,8,10,11,11|7,4,11,12,4,2",QuarterFinal,GRAND_SLAM,WS,1509,Main Draw,ZHANG Yining (CHN),LIN Ling (HKG),,,4 - 2,11:7 11:4 8:11 10:12 11:4 11:2,ZHANG Yining,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,GUO Yan (1982),LI Jiawei,CHN,SGP,4,3,"11,11,1,8,6,11,12|4,6,11,11,11,2,10",QuarterFinal,GRAND_SLAM,WS,1509,Main Draw,GUO Yan (1982) (CHN),LI Jiawei (SGP),,,4 - 3,11:4 11:6 1:11 8:11 6:11 11:2 12:10,GUO Yan (1982),2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,NIU Jianfeng,STRUSE Nicole,CHN,GER,4,0,"11,11,11,11|7,2,8,6",QuarterFinal,GRAND_SLAM,WS,1509,Main Draw,NIU Jianfeng (CHN),STRUSE Nicole (GER),,,4 - 0,11:7 11:2 11:8 11:6,NIU Jianfeng,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,GUO Yue,LAU Sui Fei,CHN,HKG,4,2,"11,11,6,11,8,12|9,6,11,5,11,10",QuarterFinal,GRAND_SLAM,WS,1509,Main Draw,GUO Yue (CHN),LAU Sui Fei (HKG),,,2 - 4,9:11 6:11 11:6 5:11 11:8 10:12,GUO Yue,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,ZHANG Yining,GUO Yan (1982),CHN,CHN,4,1,"11,11,12,7,11|9,8,10,11,9",SemiFinal,GRAND_SLAM,WS,1509,Main Draw,ZHANG Yining (CHN),GUO Yan (1982) (CHN),,,4 - 1,11:9 11:8 12:10 7:11 11:9,ZHANG Yining,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,GUO Yue,NIU Jianfeng,CHN,CHN,4,2,"11,5,15,11,3,12|9,11,13,2,11,10",SemiFinal,GRAND_SLAM,WS,1509,Main Draw,GUO Yue (CHN),NIU Jianfeng (CHN),,,2 - 4,9:11 11:5 13:15 2:11 11:3 10:12,GUO Yue,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,ZHANG Yining,GUO Yue,CHN,CHN,4,1,"11,13,4,11,11|7,11,11,8,9",Final,GRAND_SLAM,WS,1509,Main Draw,ZHANG Yining (CHN),GUO Yue (CHN),,,4 - 1,11:7 13:11 4:11 11:8 11:9,ZHANG Yining,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,CHEUNG Yuk/LEUNG Chu Yan,JINDRAK Karl/SCHLAGER Werner,HKG,AUT,4,2,"4,11,11,8,11,14|11,9,9,11,7,12",QuarterFinal,GRAND_SLAM,MD,1509,Main Draw,CHEUNG Yuk (HKG) / LEUNG Chu Yan (HKG),JINDRAK Karl (AUT) / SCHLAGER Werner (AUT),LEUNG Chu Yan (HKG),SCHLAGER Werner (AUT),2 - 4,11:4 9:11 9:11 11:8 7:11 12:14,CHEUNG Yuk,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KONG Linghui/MA Lin,HAKANSSON Fredrik/KARLSSON Peter,CHN,SWE,4,0,"11,12,11,11|7,10,9,8",QuarterFinal,GRAND_SLAM,MD,1509,Main Draw,KONG Linghui (CHN) / MA Lin (CHN),HAKANSSON Fredrik (SWE) / KARLSSON Peter (SWE),MA Lin (CHN),KARLSSON Peter (SWE),4 - 0,11:7 12:10 11:9 11:8,KONG Linghui,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KONG Linghui/MA Lin,QIN Zhijian/WANG Liqin,CHN,CHN,4,1,"2,11,11,12,11|11,8,3,10,7",SemiFinal,GRAND_SLAM,MD,1509,Main Draw,KONG Linghui (CHN) / MA Lin (CHN),QIN Zhijian (CHN) / WANG Liqin (CHN),MA Lin (CHN),WANG Liqin (CHN),4 - 1,2:11 11:8 11:3 12:10 11:7,KONG Linghui,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KONG Linghui/MA Lin,KITO Akira/TASAKI Toshio,CHN,JPN,4,0,"11,11,15,11|5,5,13,7",Final,GRAND_SLAM,MD,1509,Main Draw,KONG Linghui (CHN) / MA Lin (CHN),KITO Akira (JPN) / TASAKI Toshio (JPN),MA Lin (CHN),TASAKI Toshio (JPN),4 - 0,11:5 11:5 15:13 11:7,KONG Linghui,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KITO Akira/TASAKI Toshio,CHEUNG Yuk/LEUNG Chu Yan,JPN,HKG,4,2,"11,11,11,8,11,11|13,3,8,11,9,8",SemiFinal,GRAND_SLAM,MD,1509,Main Draw,KITO Akira (JPN) / TASAKI Toshio (JPN),CHEUNG Yuk (HKG) / LEUNG Chu Yan (HKG),TASAKI Toshio (JPN),LEUNG Chu Yan (HKG),2 - 4,13:11 3:11 8:11 11:8 9:11 8:11,KITO Akira,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,KITO Akira/TASAKI Toshio,KO Lai Chak/LI Ching,JPN,HKG,4,1,"11,11,11,6,11|8,8,8,11,4",QuarterFinal,GRAND_SLAM,MD,1509,Main Draw,KITO Akira (JPN) / TASAKI Toshio (JPN),KO Lai Chak (HKG) / LI Ching (HKG),TASAKI Toshio (JPN),LI Ching (HKG),4 - 1,11:8 11:8 11:8 6:11 11:4,KITO Akira,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,QIN Zhijian/WANG Liqin,LEE Chulseung/RYU Seungmin,CHN,KOR,4,0,"11,11,11,12|7,8,4,10",QuarterFinal,GRAND_SLAM,MD,1509,Main Draw,QIN Zhijian (CHN) / WANG Liqin (CHN),LEE Chulseung (KOR) / RYU Seungmin (KOR),WANG Liqin (CHN),RYU Seungmin (KOR),0 - 4,7:11 8:11 4:11 10:12,QIN Zhijian,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Jia/NIU Jianfeng,FUJINUMA Ai/HIURA Reiko,CHN,JPN,4,0,"11,13,11,11|7,11,4,6",QuarterFinal,GRAND_SLAM,WD,1509,Main Draw,LI Jia (CHN) / NIU Jianfeng (CHN),FUJINUMA Ai (JPN) / HIURA Reiko (JPN),NIU Jianfeng (CHN),HIURA Reiko (JPN),4 - 0,11:7 13:11 11:4 11:6,LI Jia,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Jia/NIU Jianfeng,LEE Eunsil/SUK Eunmi,CHN,KOR,4,1,"11,11,4,11,11|6,8,11,7,9",SemiFinal,GRAND_SLAM,WD,1509,Main Draw,LI Jia (CHN) / NIU Jianfeng (CHN),LEE Eunsil (KOR) / SUK Eunmi (KOR),NIU Jianfeng (CHN),SUK Eunmi (KOR),4 - 1,11:6 11:8 4:11 11:7 11:9,LI Jia,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Jia/NIU Jianfeng,LI Nan/ZHANG Yining,CHN,CHN,4,0,"11,11,11,12|9,9,6,10",Final,GRAND_SLAM,WD,1509,Main Draw,LI Jia (CHN) / NIU Jianfeng (CHN),LI Nan (CHN) / ZHANG Yining (CHN),NIU Jianfeng (CHN),ZHANG Yining (CHN),4 - 0,11:9 11:9 11:6 12:10,LI Jia,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Nan/ZHANG Yining,KISHIDA Satoko/UMEMURA Aya,CHN,JPN,4,1,"11,12,9,11,11|6,10,11,8,9",QuarterFinal,GRAND_SLAM,WD,1509,Main Draw,LI Nan (CHN) / ZHANG Yining (CHN),KISHIDA Satoko (JPN) / UMEMURA Aya (JPN),ZHANG Yining (CHN),UMEMURA Aya (JPN),1 - 4,6:11 10:12 11:9 8:11 9:11,LI Nan,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,JING Junhong/LI Jiawei,FAN Ying/GUO Yue,SGP,CHN,4,1,"11,9,11,11,11|4,11,7,4,6",QuarterFinal,GRAND_SLAM,WD,1509,Main Draw,JING Junhong (SGP) / LI Jiawei (SGP),FAN Ying (CHN) / GUO Yue (CHN),LI Jiawei (SGP),GUO Yue (CHN),4 - 1,11:4 9:11 11:7 11:4 11:6,JING Junhong,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LI Nan/ZHANG Yining,JING Junhong/LI Jiawei,CHN,SGP,4,0,"11,11,11,11|6,7,4,9",SemiFinal,GRAND_SLAM,WD,1509,Main Draw,LI Nan (CHN) / ZHANG Yining (CHN),JING Junhong (SGP) / LI Jiawei (SGP),ZHANG Yining (CHN),LI Jiawei (SGP),0 - 4,6:11 7:11 4:11 9:11,LI Nan,2002
Pro Tour Grand Finals Stockholm 2002,2002-12-12,LEE Eunsil/SUK Eunmi,JOHANSSON Sandra/JONSSON Susanne,KOR,SWE,4,0,"11,11,11,11|7,3,6,4",QuarterFinal,GRAND_SLAM,WD,1509,Main Draw,LEE Eunsil (KOR) / SUK Eunmi (KOR),JOHANSSON Sandra (SWE) / JONSSON Susanne (SWE),SUK Eunmi (KOR),JONSSON Susanne (SWE),0 - 4,7:11 3:11 6:11 4:11,LEE Eunsil,2002
Danish Open Farum 2002,2002-11-21,HENZELL William,KRIVIC Jakov,AUS,CRO,4,3,"9,11,11,9,8,11,11|11,8,5,11,11,6,7",,GRAND_SLAM,MS,1508,Qualification,HENZELL William (AUS),KRIVIC Jakov (CRO),,,4 - 3,9:11 11:8 11:5 9:11 8:11 11:6 11:7,HENZELL William,2002
Danish Open Farum 2002,2002-11-21,MOLIN Magnus,KRIVIC Jakov,SWE,CRO,4,0,"12,11,11,11|10,6,6,6",QR2,GRAND_SLAM,MS,1508,Qualification,MOLIN Magnus (SWE),KRIVIC Jakov (CRO),,,4 - 0,12:10 11:6 11:6 11:6,MOLIN Magnus,2002
Danish Open Farum 2002,2002-11-21,MOLIN Magnus,HENZELL William,SWE,AUS,4,1,"11,11,11,7,11|9,8,6,11,8",3,GRAND_SLAM,MS,1508,Qualification,MOLIN Magnus (SWE),HENZELL William (AUS),,,4 - 1,11:9 11:8 11:6 7:11 11:8,MOLIN Magnus,2002
Danish Open Farum 2002,2002-11-21,KONGSGAARD Christian,HOLM Anders,DEN,SWE,4,3,"11,6,8,12,7,11,11|7,11,11,10,11,4,9",,GRAND_SLAM,MS,1508,Qualification,KONGSGAARD Christian (DEN),HOLM Anders (SWE),,,3 - 4,7:11 11:6 11:8 10:12 11:7 4:11 9:11,KONGSGAARD Christian,2002
Danish Open Farum 2002,2002-11-21,BRATANOV Martin,KONGSGAARD Christian,BEL,DEN,4,0,"11,11,11,11|6,9,4,9",QR2,GRAND_SLAM,MS,1508,Qualification,BRATANOV Martin (BEL),KONGSGAARD Christian (DEN),,,4 - 0,11:6 11:9 11:4 11:9,BRATANOV Martin,2002
Danish Open Farum 2002,2002-11-21,HOLM Anders,BRATANOV Martin,SWE,BEL,4,3,"7,8,11,7,11,12,11|11,11,8,11,8,10,9",3,GRAND_SLAM,MS,1508,Qualification,HOLM Anders (SWE),BRATANOV Martin (BEL),,,3 - 4,11:7 11:8 8:11 11:7 8:11 10:12 9:11,HOLM Anders,2002
Danish Open Farum 2002,2002-11-21,KNUDSEN Morten,JAPEC Tomislav,DEN,CRO,4,2,"11,11,9,18,7,11|4,2,11,16,11,8",,GRAND_SLAM,MS,1508,Qualification,KNUDSEN Morten (DEN),JAPEC Tomislav (CRO),,,4 - 2,11:4 11:2 9:11 18:16 7:11 11:8,KNUDSEN Morten,2002
Danish Open Farum 2002,2002-11-21,MAZUNOV Dmitry,JAPEC Tomislav,RUS,CRO,4,3,"11,7,9,11,11,12,11|6,11,11,5,7,14,8",QR2,GRAND_SLAM,MS,1508,Qualification,MAZUNOV Dmitry (RUS),JAPEC Tomislav (CRO),,,4 - 3,11:6 7:11 9:11 11:5 11:7 12:14 11:8,MAZUNOV Dmitry,2002
Danish Open Farum 2002,2002-11-21,MAZUNOV Dmitry,KNUDSEN Morten,RUS,DEN,4,0,"11,11,11,14|4,7,6,12",3,GRAND_SLAM,MS,1508,Qualification,MAZUNOV Dmitry (RUS),KNUDSEN Morten (DEN),,,4 - 0,11:4 11:7 11:6 14:12,MAZUNOV Dmitry,2002
Danish Open Farum 2002,2002-11-21,DELOBBE Damien,LUCESOLI Francesco,BEL,ITA,4,2,"11,11,2,11,16,11|5,5,11,7,18,9",,GRAND_SLAM,MS,1508,Qualification,DELOBBE Damien (BEL),LUCESOLI Francesco (ITA),,,4 - 2,11:5 11:5 2:11 11:7 16:18 11:9,DELOBBE Damien,2002
Danish Open Farum 2002,2002-11-21,CARNEROS Alfredo,JANSSENS Tim,ESP,BEL,4,0,"11,12,11,11|6,10,6,6",,GRAND_SLAM,MS,1508,Qualification,CARNEROS Alfredo (ESP),JANSSENS Tim (BEL),,,4 - 0,11:6 12:10 11:6 11:6,CARNEROS Alfredo,2002
Danish Open Farum 2002,2002-11-21,JANSSENS Tim,STEGER Bastian,BEL,GER,4,1,"11,7,11,11,12,11|8,11,9,11,10,8",QR2,GRAND_SLAM,MS,1508,Qualification,JANSSENS Tim (BEL),STEGER Bastian (GER),,,1 - 4,8:11 11:7 9:11 11:11 10:12 8:11,JANSSENS Tim,2002
Danish Open Farum 2002,2002-11-21,STEGER Bastian,CARNEROS Alfredo,GER,ESP,4,2,"11,15,8,11,5,11|2,13,11,9,11,7",3,GRAND_SLAM,MS,1508,Qualification,STEGER Bastian (GER),CARNEROS Alfredo (ESP),,,4 - 2,11:2 15:13 8:11 11:9 5:11 11:7,STEGER Bastian,2002
Danish Open Farum 2002,2002-11-21,BOBILLIER Loic,WALL John,FRA,SWE,4,1,"13,12,4,11,11|11,10,11,9,8",,GRAND_SLAM,MS,1508,Qualification,BOBILLIER Loic (FRA),WALL John (SWE),,,4 - 1,13:11 12:10 4:11 11:9 11:8,BOBILLIER Loic,2002
Danish Open Farum 2002,2002-11-21,MONRAD Martin,WALL John,DEN,SWE,4,1,"11,11,11,11,12|4,3,13,2,10",QR2,GRAND_SLAM,MS,1508,Qualification,MONRAD Martin (DEN),WALL John (SWE),,,4 - 1,11:4 11:3 11:13 11:2 12:10,MONRAD Martin,2002
Danish Open Farum 2002,2002-11-21,MONRAD Martin,BOBILLIER Loic,DEN,FRA,4,3,"9,11,11,11,8,11,11|11,7,13,5,11,8,8",3,GRAND_SLAM,MS,1508,Qualification,MONRAD Martin (DEN),BOBILLIER Loic (FRA),,,4 - 3,9:11 11:7 11:13 11:5 8:11 11:8 11:8,MONRAD Martin,2002
Danish Open Farum 2002,2002-11-21,ROBERTSON Adam,ANDREOLI Fabio,WAL,ITA,4,0,"11,11,11,11|5,1,6,7",,GRAND_SLAM,MS,1508,Qualification,ROBERTSON Adam (WAL),ANDREOLI Fabio (ITA),,,4 - 0,11:5 11:1 11:6 11:7,ROBERTSON Adam,2002
Danish Open Farum 2002,2002-11-21,TOSIC Roko,ANDREOLI Fabio,CRO,ITA,4,0,"11,11,11,11|5,4,9,2",QR2,GRAND_SLAM,MS,1508,Qualification,TOSIC Roko (CRO),ANDREOLI Fabio (ITA),,,4 - 0,11:5 11:4 11:9 11:2,TOSIC Roko,2002
Danish Open Farum 2002,2002-11-21,TOSIC Roko,ROBERTSON Adam,CRO,WAL,4,1,"11,12,8,11,11|6,10,11,3,7",3,GRAND_SLAM,MS,1508,Qualification,TOSIC Roko (CRO),ROBERTSON Adam (WAL),,,4 - 1,11:6 12:10 8:11 11:3 11:7,TOSIC Roko,2002
Danish Open Farum 2002,2002-11-21,LAKEEV Vasily,VOSTES Yannick,RUS,BEL,4,3,"11,10,11,9,12,3,11|5,12,9,11,10,11,7",,GRAND_SLAM,MS,1508,Qualification,LAKEEV Vasily (RUS),VOSTES Yannick (BEL),,,4 - 3,11:5 10:12 11:9 9:11 12:10 3:11 11:7,LAKEEV Vasily,2002
Danish Open Farum 2002,2002-11-21,WANG Jianfeng,VOSTES Yannick,NOR,BEL,4,0,"11,12,11,11|2,10,9,9",QR2,GRAND_SLAM,MS,1508,Qualification,WANG Jianfeng (NOR),VOSTES Yannick (BEL),,,4 - 0,11:2 12:10 11:9 11:9,WANG Jianfeng,2002
Danish Open Farum 2002,2002-11-21,WANG Jianfeng,LAKEEV Vasily,NOR,RUS,4,3,"11,10,8,11,11,7,11|9,12,11,5,9,11,2",3,GRAND_SLAM,MS,1508,Qualification,WANG Jianfeng (NOR),LAKEEV Vasily (RUS),,,4 - 3,11:9 10:12 8:11 11:5 11:9 7:11 11:2,WANG Jianfeng,2002
Danish Open Farum 2002,2002-11-21,STEPANEK David,YUZAWA Ryo,CZE,JPN,4,2,"5,11,5,11,13,11|11,4,11,7,11,9",3,GRAND_SLAM,MS,1508,Qualification,STEPANEK David (CZE),YUZAWA Ryo (JPN),,,2 - 4,11:5 4:11 11:5 7:11 11:13 9:11,STEPANEK David,2002
Danish Open Farum 2002,2002-11-21,CHUMAKOU Dmitry,PROVOST Damien,BLR,MON,4,2,"11,11,7,11,4,11|9,5,11,7,11,4",,GRAND_SLAM,MS,1508,Qualification,CHUMAKOU Dmitry (BLR),PROVOST Damien (MON),,,2 - 4,9:11 5:11 11:7 7:11 11:4 4:11,CHUMAKOU Dmitry,2002
Danish Open Farum 2002,2002-11-21,TUGWELL Finn,CHUMAKOU Dmitry,DEN,BLR,4,0,"11,11,11,11|3,5,2,1",QR2,GRAND_SLAM,MS,1508,Qualification,TUGWELL Finn (DEN),CHUMAKOU Dmitry (BLR),,,4 - 0,11:3 11:5 11:2 11:1,TUGWELL Finn,2002
Danish Open Farum 2002,2002-11-21,TUGWELL Finn,PROVOST Damien,DEN,MON,4,1,"11,11,11,11,11|7,5,13,8,9",3,GRAND_SLAM,MS,1508,Qualification,TUGWELL Finn (DEN),PROVOST Damien (MON),,,4 - 1,11:7 11:5 11:13 11:8 11:9,TUGWELL Finn,2002
Danish Open Farum 2002,2002-11-21,JUZBASIC Ivan,MENDES Enio,CRO,POR,4,3,"10,12,11,11,9,8,11|12,10,7,5,11,11,3",,GRAND_SLAM,MS,1508,Qualification,JUZBASIC Ivan (CRO),MENDES Enio (POR),,,4 - 3,10:12 12:10 11:7 11:5 9:11 8:11 11:3,JUZBASIC Ivan,2002
Danish Open Farum 2002,2002-11-21,TOKIC Bojan,MENDES Enio,SLO,POR,4,0,"12,11,11,11|10,2,9,7",QR2,GRAND_SLAM,MS,1508,Qualification,TOKIC Bojan (SLO),MENDES Enio (POR),,,4 - 0,12:10 11:2 11:9 11:7,TOKIC Bojan,2002
