tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
ITTF-Oceania Cup 2023,2023-12-09,YEE Grace Rosi,WANEGUI Julie,FIJ,NCL,4,3,"9,8,11,8,11,11,11|11,11,5,11,6,1,4",QUAL,OTHER,WS,2714,Qualification,YEE Grace Rosi (FIJ),WANEGUI Julie (NCL),,,4 - 3,9:11 8:11 11:5 8:11 11:6 11:1 11:4,YEE Grace Rosi,2023
ITTF-Oceania Cup 2023,2023-12-09,BELROSE Ocean,DELA PENA Alfred,PYF,NZL,4,3,"12,11,10,11,10,9,11|10,6,12,5,12,11,6",QF,OTHER,MS,2714,Main Draw,BELROSE Ocean (PYF),DELA PENA Alfred (NZL),,,3 - 4,10:12 6:11 12:10 5:11 12:10 11:9 6:11,BELROSE Ocean,2023
ITTF-Oceania Cup 2023,2023-12-09,YANG Joanna,LI Carolyn,NZL,FIJ,4,0,"11,11,11,11|3,4,7,4",QF,OTHER,WS,2714,Main Draw,YANG Joanna (NZL),LI Carolyn (FIJ),,,0 - 4,3:11 4:11 7:11 4:11,YANG Joanna,2023
ITTF-Oceania Cup 2023,2023-12-09,LAM Jocelyn,YEE Grace Rosi,NZL,FIJ,4,1,"11,9,11,11,11|7,11,8,9,7",QF,OTHER,WS,2714,Main Draw,LAM Jocelyn (NZL),YEE Grace Rosi (FIJ),,,4 - 1,11:7 9:11 11:8 11:9 11:7,LAM Jocelyn,2023
ITTF-Oceania Cup 2023,2023-12-09,LUM Nicholas,DEY Jeremy,AUS,NCL,4,0,"11,11,11,11|6,9,4,4",QF,OTHER,MS,2714,Main Draw,LUM Nicholas (AUS),DEY Jeremy (NCL),,,4 - 0,11:6 11:9 11:4 11:4,LUM Nicholas,2023
ITTF-Oceania Cup 2023,2023-12-09,LIU Yangzi,YANG Joanna,AUS,NZL,4,0,"11,11,11,11|5,2,3,3",SF,OTHER,WS,2714,Main Draw,LIU Yangzi (AUS),YANG Joanna (NZL),,,4 - 0,11:5 11:2 11:3 11:3,LIU Yangzi,2023
ITTF-Oceania Cup 2023,2023-12-09,LUU Finn,BELROSE Ocean,AUS,PYF,4,0,"11,11,11,11|3,8,5,9",SF,OTHER,MS,2714,Main Draw,LUU Finn (AUS),BELROSE Ocean (PYF),,,4 - 0,11:3 11:8 11:5 11:9,LUU Finn,2023
ITTF-Oceania Cup 2023,2023-12-09,JEE Minhyung,LAM Jocelyn,AUS,NZL,4,0,"11,11,11,11|2,4,3,4",SF,OTHER,WS,2714,Main Draw,JEE Minhyung (AUS),LAM Jocelyn (NZL),,,0 - 4,2:11 4:11 3:11 4:11,JEE Minhyung,2023
ITTF-Oceania Cup 2023,2023-12-09,LUM Nicholas,SAREEN Aditya,AUS,AUS,4,0,"11,11,11,12|8,5,7,10",SF,OTHER,MS,2714,Main Draw,LUM Nicholas (AUS),SAREEN Aditya (AUS),,,4 - 0,11:8 11:5 11:7 12:10,LUM Nicholas,2023
ITTF-Oceania Cup 2023,2023-12-09,YANG Joanna,LAM Jocelyn,NZL,NZL,4,0,"11,13,11,14|6,11,6,12",2,OTHER,WS,2714,Position Draw,YANG Joanna (NZL),LAM Jocelyn (NZL),,,4 - 0,11:6 13:11 11:6 14:12,YANG Joanna,2023
