slug,name,name_en,name_zh,tier,country,city,start_date,end_date,aliases
2019-ittf-world-tour-czech-open-olomouc,ITTF World Tour Czech Open Olomouc 2019,ITTF World Tour Czech Open Olomouc 2019,2019 ITTF World Tour Czech Open 奥洛穆茨,WTT_CONTENDER,,,2019-08-20,2019-08-20,
2019-ittf-world-tour-grand-finals-zhengzhou,ITTF World Tour Grand Finals Zhengzhou 2019,ITTF World Tour Grand Finals Zhengzhou 2019,2019 ITTF World Tour Grand Finals Zhengzhou,GRAND_SLAM,,,2019-12-12,2019-12-12,
2019-ittf-world-tour-hong-kong-open-hong-kong,ITTF World Tour Hong Kong Open Hong Kong 2019,ITTF World Tour Hong Kong Open Hong Kong 2019,2019 ITTF World Tour 香港 Open 香港,WTT_CONTENDER,,,2019-06-04,2019-06-04,
2019-ittf-world-tour-korea-open-busan,ITTF World Tour Korea Open Busan 2019,ITTF World Tour Korea Open Busan 2019,2019 ITTF World Tour Korea Open 釜山,WTT_CONTENDER,,,2019-07-02,2019-07-02,
2019-ittf-world-tour-platinum-australian-open-geelong,ITTF World Tour Platinum Australian Open Geelong 2019,ITTF World Tour Platinum Australian Open Geelong 2019,2019 ITTF World Tour Platinum Australian Open Geelong,WTT_STAR_CONTENDER,,,2019-07-09,2019-07-09,
2019-ittf-world-tour-platinum-austrian-open-linz,ITTF World Tour Platinum Austrian Open Linz 2019,ITTF World Tour Platinum Austrian Open Linz 2019,2019 ITTF World Tour Platinum Austrian Open Linz,WTT_STAR_CONTENDER,,,2019-11-12,2019-11-12,
2019-ittf-world-tour-platinum-china-open-shenzhen,ITTF World Tour Platinum China Open Shenzhen 2019,ITTF World Tour Platinum China Open Shenzhen 2019,2019 ITTF World Tour Platinum China Open Shenzhen,WTT_STAR_CONTENDER,,,2019-05-28,2019-05-28,
2019-ittf-world-tour-platinum-german-open-bremen,ITTF World Tour Platinum German Open Bremen 2019,ITTF World Tour Platinum German Open Bremen 2019,2019 ITTF World Tour Platinum German Open Bremen,WTT_STAR_CONTENDER,,,2019-10-08,2019-10-08,
2019-ittf-world-tour-platinum-japan-open-sapporo,ITTF World Tour Platinum Japan Open Sapporo 2019,ITTF World Tour Platinum Japan Open Sapporo 2019,2019 ITTF World Tour Platinum Japan Open Sapporo,WTT_STAR_CONTENDER,,,2019-06-12,2019-06-12,
2019-ittf-world-tour-swedish-open-stockholm,ITTF World Tour Swedish Open Stockholm 2019,ITTF World Tour Swedish Open Stockholm 2019,2019 ITTF World Tour Swedish Open 斯德哥尔摩,WTT_CONTENDER,,,2019-10-01,2019-10-01,
2019-latin-american-senior-championships-guatemala-city,Latin American Senior Championships Guatemala City 2019,Latin American Senior Championships Guatemala City 2019,2019 Latin American Senior Championships Guatemala City,OTHER,,,2019-05-27,2019-05-27,
2019-latin-american-team-qualification-lima,Latin American Team Qualification Lima 2019,Latin American Team Qualification Lima 2019,2019 Latin American Team Qualification 利马,OTHER,,,2019-10-25,2019-10-25,
